Obs,Time,Date,configName,configAuthor,remark,Observation,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt,MEASUREMENT_HEADER_END
204,12:38:33,2025-08-28,Manual gsw+F,LI-COR Default,,204,,,0.019569,2.922145,0.019439,1.286544,0.69855,0.669572,5.8186,5.12005,8.305337,8.664782,72.173607,0.441786,7.5,PSF-00232_20250828123833_49e,0,0,0,75.284599,87.51712,0.139773,0.5,0.8,108.078781,1,14.99,14.36,31.58,35.54,35.54,80.62,156.8,153.7,1.9,1933,3.81,12:36:56,2025-08-28,0.39,1,0.002,0.002,0.008,-1.991,-2.045,1.727,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,84.700584,25,-1.891288,84.3097,84.807076,-0.497375,2.426896,2.435551,1.643779,0.922182,0.210214,0.049545,0.535914,1.718651,75.284599,0.000612,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828123833_49e,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
205,12:38:50,2025-08-28,Manual gsw+F,LI-COR Default,,205,,,0.01045,2.922129,0.010412,0.56209,0.665552,0.652887,4.868153,4.202601,8.098646,8.255754,60.386372,0.441786,7.5,PSF-00232_20250828123850_cc6,0,0,0,92.815521,103.563187,0.103779,0.5,0.8,72.610054,1,14.23,13.96,31.63,32.34,32.34,80.62,156.8,150,4.3,1749,3.777,12:36:56,2025-08-28,0.39,1,0.002,0.001,0.007,-0.131,-0.236,3.776,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,102.809433,25,-0.477016,102.980377,102.879669,0.100708,2.426197,2.434236,1.643762,0.912957,0.20977,0.008368,0.535988,1.565289,92.815521,0.000596,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828123850_cc6,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
206,12:39:09,2025-08-28,Manual gsw+F,LI-COR Default,,206,,,-0.004676,2.923617,-0.004683,-0.311041,0.64907,0.656072,5.789254,5.140184,8.13823,8.051376,71.812721,0.441786,7.5,PSF-00232_20250828123909_004,0,0,0,21.442652,22.609949,0.051628,0.5,0.8,41.843292,1,13.84,13.99,31.69,35.45,35.45,80.62,156.9,-8.6,105.4,2026,3.811,12:36:56,2025-08-28,0.39,1,-0.004,-0.005,-0.01,0.041,-0.068,-0.088,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,22.609949,25,-0.018818,22.650719,22.582985,0.067734,2.42623,2.433532,1.64533,0.586897,0.209292,0.046962,0.536344,1.79626,21.442652,0.000593,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828123909_004,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
207,12:39:35,2025-08-28,Manual gsw+F,LI-COR Default,,207,,,0.02726,2.922522,0.027008,1.598523,0.724959,0.688979,5.317435,4.592476,8.546668,8.992994,65.961891,0.441786,7.5,PSF-00232_20250828123935_7bf,0,0,0,63.260796,72.825417,0.131336,0.5,0.8,103.502441,1,15.38,14.62,31.77,33.91,33.91,80.61,156.8,138.1,12,1970,3.811,12:36:56,2025-08-28,0.39,1,0.002,0,0.007,-0.096,-0.621,-1.944,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,70.167664,25,-1.918495,69.468498,70.076385,-0.607887,2.427321,2.436223,1.644175,0.883953,0.208634,0.026385,0.536519,1.749551,63.260796,0.000602,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828123935_7bf,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
208,12:40:09,2025-08-28,Manual gsw+F,LI-COR Default,,208,,,0.015331,2.924806,0.015251,0.81091,0.708521,0.690299,4.846928,4.138407,8.563393,8.789444,60.127754,0.441786,7.5,PSF-00232_20250828124009_fae,0,0,0,82.111,253.757294,0.676419,0.5,0.8,261.135956,1,14.95,14.56,31.87,32.26,32.26,80.61,157.1,142.6,9.2,965,3.809,12:36:56,2025-08-28,0.39,1,0.003,0.005,-0.001,0.333,0.509,18.173,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,240.529419,25,-9.046988,239.209412,240.793777,-1.584366,2.427212,2.435458,1.646587,0.894835,0.207791,0.004411,0.537485,0.91168,82.111,0.000617,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124009_fae,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
209,12:40:27,2025-08-28,Manual gsw+F,LI-COR Default,,209,,,0.008307,2.923495,0.008284,0.373041,0.847796,0.839419,4.360885,3.513089,10.41282,10.516737,54.095879,0.441786,7.5,PSF-00232_20250828124027_573,0,0,0,31.354309,151.362946,0.792853,0.5,0.8,359.91925,1,17.84,17.66,31.92,30.41,30.41,80.61,156.9,114.2,27.2,1135,3.809,12:36:56,2025-08-28,0.39,1,-0.005,0,0.011,-0.013,0.303,0.263,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,143.687729,25,-6.068809,143.850082,142.666901,1.183182,2.432457,2.440386,1.645201,0.828524,0.20739,-0.019033,0.537946,1.053192,30.190229,0.000618,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124027_573,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
210,12:40:58,2025-08-28,Manual gsw+F,LI-COR Default,,210,,,0.056227,2.923915,0.055166,3.185502,0.828861,0.757335,5.306559,4.477698,9.394877,10.282168,65.828804,0.441786,7.5,PSF-00232_20250828124058_02f,0,0,0,71.382523,85.652428,0.166602,0.5,0.8,128.482513,1,17.36,15.86,32,33.88,33.88,80.61,157,9.9,93.7,1928,3.809,12:36:56,2025-08-28,0.39,1,0.003,0.006,0.02,-1.79,-2.171,-5.37,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,83.211067,25,-1.714448,84.420563,83.195778,1.224785,2.429424,2.439576,1.645644,0.619261,0.206754,0.023045,0.538697,1.714371,68.049789,0.000605,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124058_02f,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
211,12:41:18,2025-08-28,Manual gsw+F,LI-COR Default,,211,,,0.013222,2.924363,0.013163,0.710088,0.741954,0.725998,4.937433,4.195479,9.006419,9.204352,61.251629,0.441786,7.5,PSF-00232_20250828124118_9ba,0,0,0,50.873638,102.69548,0.504617,0.5,0.8,162.186981,1,15.49,15.16,32.05,32.59,32.59,80.61,157,141.7,9.8,804,3.808,12:36:56,2025-08-28,0.39,1,-0.003,-0.004,0.006,0.479,1.031,2.094,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,97.827675,25,-3.56402,96.716881,97.588562,-0.871681,2.428222,2.436386,1.646117,0.892719,0.206326,0.006249,0.539124,0.776938,50.873638,0.000608,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124118_9ba,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
212,12:41:38,2025-08-28,Manual gsw+F,LI-COR Default,,212,,,0.019121,2.924134,0.018996,1.278592,0.743942,0.71521,5.944253,5.200311,8.872852,9.229309,73.744095,0.441786,7.5,PSF-00232_20250828124138_e12,0,0,0,53.153873,60.425823,0.120345,0.5,0.8,99.396568,1,15.49,14.89,32.1,35.93,35.93,80.61,157,152.6,2.8,2065,3.807,12:36:56,2025-08-28,0.39,1,0,0.001,0.014,-0.251,0.545,3.098,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,59.869049,25,-0.372272,60.078979,59.892391,0.186588,2.427754,2.436372,1.645876,0.91943,0.205895,0.047939,0.539575,1.828454,53.527237,0.000609,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124138_e12,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
213,12:42:15,2025-08-28,Manual gsw+F,LI-COR Default,,213,,,0.048419,2.922477,0.04763,2.260347,0.744839,0.693973,4.447266,3.702426,8.608595,9.239574,55.167412,0.441786,7.5,PSF-00232_20250828124215_460,0,0,0,82.052704,301.940002,0.728248,0.5,0.8,505.775696,1,15.43,14.38,32.19,30.75,30.75,80.61,156.8,85.5,45.5,1736,3.806,12:36:56,2025-08-28,0.39,1,-0.002,0.001,0.01,0.126,0.272,0.766,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,275.708923,25,-19.298306,271.818634,274.287292,-2.468658,2.426862,2.436265,1.644128,0.765736,0.20519,-0.018225,0.540124,1.554552,81.975464,0.000628,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124215_460,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
214,12:42:38,2025-08-28,Manual gsw+F,LI-COR Default,,214,,,0.00338,2.922741,0.003376,0.161895,0.760707,0.757066,4.500236,3.739529,9.391449,9.436625,55.825706,0.441786,7.5,PSF-00232_20250828124238_d95,0,0,0,49.683453,144.466766,0.656091,0.5,0.8,201.777191,1,15.73,15.66,32.22,30.96,30.96,80.61,156.8,118.3,24.6,769,3.805,12:36:56,2025-08-28,0.39,1,0.002,0,-0.006,-0.866,-2.181,-3.117,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,136.018402,25,-6.28918,137.925629,135.454941,2.470688,2.429053,2.43678,1.644406,0.837716,0.204943,-0.016071,0.540372,0.748048,49.683453,0.000618,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124238_d95,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
215,12:42:43,2025-08-28,Manual gsw+F,LI-COR Default,,215,,,-0.034472,2.92333,-0.034884,-0.5764,0.751988,0.764948,2.0607,1.308712,9.489552,9.328772,25.563986,0.441786,7.5,PSF-00232_20250828124243_311,0,0,0,1.485944,1.523495,0.024648,0.5,0.8,14.747988,1,15.55,15.81,32.23,17.92,17.92,80.61,156.9,-9.9,106.3,1496,3.805,12:36:56,2025-08-28,0.39,1,-9999,-9999,-9999,-9999,-9999,-9999,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,1.523495,25,-0.001743,1.520634,1.520997,-0.000364,2.429322,2.436462,1.645027,0.584523,0.204903,-0.165629,0.540422,1.354131,1.485944,0.000613,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124243_311,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
216,12:42:58,2025-08-28,Manual gsw+F,LI-COR Default,,216,,,0.005072,2.923614,0.005064,0.278039,0.777876,0.771628,5.044634,4.266758,9.571672,9.649185,62.576286,0.441786,7.5,PSF-00232_20250828124258_1be,0,0,0,47.471523,77.974808,0.391194,0.5,0.8,296.768494,1,16.07,15.94,32.24,32.97,32.97,80.62,156.9,136.3,13.2,1897,3.805,12:36:56,2025-08-28,0.39,1,0,0.001,0.007,0.569,1.215,2.232,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,70.626495,25,-5.477527,68.011879,70.126007,-2.114128,2.42953,2.437355,1.645326,0.879764,0.204775,0.00862,0.540594,1.688173,47.471523,0.000624,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124258_1be,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
217,12:43:32,2025-08-28,Manual gsw+F,LI-COR Default,,217,,,0.016215,2.923727,0.016126,0.795633,0.720713,0.702823,4.567143,3.846431,8.719592,8.941542,56.662376,0.441786,7.5,PSF-00232_20250828124332_c27,0,0,0,103.4832,267.140533,0.612626,0.5,0.8,131.205322,1,14.87,14.5,32.26,31.22,31.22,80.6,157,117.8,24.9,535,3.804,12:36:56,2025-08-28,0.39,1,0.002,0.003,0.013,3.373,5.068,14.996,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,260.594116,25,-3.817945,264.663574,261.669769,2.993805,2.427077,2.435296,1.645446,0.836649,0.20465,-0.013352,0.539998,0.553436,103.4832,0.00062,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124332_c27,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
218,12:43:54,2025-08-28,Manual gsw+F,LI-COR Default,,218,,,0.022339,2.922762,0.022169,1.114604,0.801055,0.776,4.714773,3.913718,9.627704,9.938558,58.495399,0.441786,7.5,PSF-00232_20250828124354_b65,0,0,0,160.774475,317.809174,0.494116,0.5,0.8,117.512497,1,16.52,16.01,32.27,31.78,31.78,80.6,156.8,154.1,1.7,595,3.802,12:36:56,2025-08-28,0.39,1,-0.001,-0.003,0.012,-1.044,1.92,79.367,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,300.876984,25,-12.953806,294.318787,299.247559,-4.928772,2.429641,2.438128,1.644428,0.923129,0.204568,-0.00659,0.540252,0.602737,160.774475,0.000633,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124354_b65,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
219,12:44:17,2025-08-28,Manual gsw+F,LI-COR Default,,219,,,0.012167,2.903028,0.012116,0.602799,0.705949,0.692171,4.584453,3.878504,8.587702,8.75864,56.878887,0.441786,7.5,PSF-00232_20250828124417_51d,0,0,0,73.395966,216.854202,0.661542,0.5,0.8,119.391029,1,14.54,14.26,32.29,31.28,31.28,80.6,154.4,145.9,5.5,451,3.801,12:36:56,2025-08-28,0.39,1,0,-0.003,-0.002,0.468,1.791,4.242,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,206.933502,25,-6.926713,205.040573,206.928848,-1.888275,2.426651,2.434719,1.624115,0.902869,0.2044,-0.012925,0.540346,0.48321,73.790428,0.000622,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124417_51d,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
220,12:44:47,2025-08-28,Manual gsw+F,LI-COR Default,,220,,,0.014701,2.923652,0.014628,0.786098,0.77565,0.757986,4.953036,4.177387,9.404501,9.623652,61.4534,0.441786,7.5,PSF-00232_20250828124447_2df,0,0,0,93.165276,164.215958,0.432666,0.5,0.8,323.452301,1,15.96,15.6,32.31,32.65,32.65,80.6,156.9,122.1,22.2,1869,3.8,12:36:56,2025-08-28,0.39,1,0,0.001,0.006,-6.485,-8.182,-34.889,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,157.204987,25,-5.407697,156.042694,156.467224,-0.42453,2.428948,2.43717,1.645367,0.846451,0.204258,0.003749,0.540713,1.665158,93.165276,0.000636,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124447_2df,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
221,12:45:09,2025-08-28,Manual gsw+F,LI-COR Default,,221,,,0.026991,2.922175,0.026744,1.422416,0.728361,0.696345,4.866246,4.137885,8.639832,9.037078,60.377514,0.441786,7.5,PSF-00232_20250828124509_ba2,0,0,0,69.689156,159.907944,0.564192,0.5,0.8,314.613342,1,14.98,14.32,32.32,32.33,32.33,80.6,156.8,115.1,26.6,1394,3.801,12:36:56,2025-08-28,0.39,1,0.001,0.002,0.026,4.568,1.845,11.769,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,159.907944,25,9.170322,188.284271,173.048187,15.236084,2.426752,2.435471,1.64381,0.830503,0.20414,-0.000334,0.540943,1.269281,69.689156,0.000632,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124509_ba2,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
222,12:45:33,2025-08-28,Manual gsw+F,LI-COR Default,,222,,,0.046927,2.922336,0.046185,2.644624,0.819223,0.759769,5.260385,4.441161,9.426508,10.164154,65.265923,0.441786,7.5,PSF-00232_20250828124533_b4a,0,0,0,86.307053,125.716896,0.313481,0.5,0.8,231.203766,1,16.8,15.58,32.37,33.72,33.72,80.6,156.8,150.3,4.1,1844,3.8,12:36:56,2025-08-28,0.39,1,0,0.001,0.008,-2.207,-3.477,-3.217,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,116.539474,25,-6.335431,115.52346,116.638802,-1.115341,2.428912,2.438593,1.643979,0.913776,0.203764,0.016432,0.54124,1.644228,86.307053,0.000609,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124533_b4a,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
223,12:46:08,2025-08-28,Manual gsw+F,LI-COR Default,,223,,,-0.000227,2.924152,-0.000227,-0.005495,0.695222,0.695345,2.602385,1.907163,8.627142,8.625608,32.287754,0.441786,7.5,PSF-00232_20250828124608_df5,0,0,0,1.4956,1.514554,0.012515,0.5,0.8,5.569108,1,14.2,14.2,32.44,21.68,21.68,80.6,157,-9.1,105.8,1113,3.8,12:36:56,2025-08-28,0.39,1,-0.007,-0.016,0,0.074,-0.023,-0.016,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,1.514554,25,-0.017103,1.490951,1.490047,0.000904,2.426536,2.434103,1.645895,0.58593,0.203165,-0.127067,0.541125,1.034536,1.4956,0.00062,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124608_df5,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
224,12:46:38,2025-08-28,Manual gsw+F,LI-COR Default,,224,,,0.007997,2.922807,0.007975,0.484555,0.760781,0.749883,5.468802,4.708021,9.303304,9.438505,67.847778,0.441786,7.5,PSF-00232_20250828124638_74f,0,0,0,95.206978,119.513756,0.203381,0.5,0.8,156.87088,1,15.5,15.28,32.49,34.42,34.42,80.6,156.8,147.8,5.7,1928,3.799,12:36:56,2025-08-28,0.39,1,-0.001,-0.001,-0.003,-0.67,-2.828,-9.411,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,114.999176,25,-3.079748,114.536407,115.100754,-0.564346,2.428386,2.436361,1.644476,0.907655,0.202845,0.023818,0.541922,1.714631,95.206978,0.000612,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124638_74f,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
225,12:47:02,2025-08-28,Manual gsw+F,LI-COR Default,,225,,,0.025366,2.922839,0.025148,1.44803,0.793094,0.760542,5.260045,4.466951,9.435649,9.839509,65.258675,0.441786,7.5,PSF-00232_20250828124702_dd0,0,0,0,145.12825,173.642349,0.164212,0.5,0.8,133.596146,1,16.14,15.48,32.51,33.72,33.72,80.6,156.8,7.5,95.2,2034,3.799,12:36:56,2025-08-28,0.39,1,-0.001,-0.001,0.017,-1.734,-4.699,-15.062,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,170.620316,25,-2.0314,171.413544,170.731537,0.682007,2.428724,2.437456,1.644509,0.61493,0.202685,0.014724,0.542572,1.802674,147.086258,0.000608,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124702_dd0,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
226,12:47:50,2025-08-28,Manual gsw+F,LI-COR Default,,226,,,0.005156,2.92359,0.005147,0.313365,0.781601,0.774559,5.498235,4.716634,9.609233,9.696591,68.211441,0.441786,7.5,PSF-00232_20250828124750_f72,0,0,0,18.522263,22.16032,0.16417,0.5,0.8,124.028915,1,15.85,15.71,32.56,34.51,34.51,80.61,156.9,81,48.4,1889,3.796,12:47:27,2025-08-28,0.29,1,0,0.004,0.01,-0.034,-0.212,-0.38,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,21.776676,25,-0.254719,21.826744,21.795332,0.031412,2.429114,2.437132,1.645301,0.756259,0.202216,0.024053,0.543457,1.681647,18.522263,0.000622,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124750_f72,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
227,12:48:12,2025-08-28,Manual gsw+F,LI-COR Default,,227,,,0.019305,2.923732,0.019178,1.13761,0.75025,0.724683,5.3502,4.599949,8.991349,9.308578,66.381508,0.441786,7.5,PSF-00232_20250828124812_9cf,0,0,0,62.749027,109.183601,0.425289,0.5,0.8,137.786591,1,15.19,14.67,32.6,34.02,34.02,80.6,157,43.1,72.5,810,3.797,12:47:27,2025-08-28,0.29,1,0.004,0.005,0.002,0.075,0.593,1.617,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,101.580978,25,-5.410418,100.22628,101.430969,-1.204689,2.427329,2.43598,1.645451,0.680509,0.201918,0.01736,0.543799,0.78231,62.749027,0.00062,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124812_9cf,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
228,12:48:26,2025-08-28,Manual gsw+F,LI-COR Default,,228,,,0.019839,2.921011,0.019705,1.05496,0.784531,0.760778,4.946359,4.161828,9.438582,9.733272,61.36694,0.441786,7.5,PSF-00232_20250828124826_6fb,0,0,0,67.455765,170.480011,0.604319,0.5,0.8,138.764206,1,15.86,15.38,32.63,32.62,32.62,80.6,156.6,149.9,4.3,574,3.796,12:47:27,2025-08-28,0.29,1,0.004,0.005,0.013,1.912,2.968,30.755,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,159.951569,25,-9.974721,153.63765,156.187149,-2.5495,2.428537,2.437129,1.642588,0.912727,0.201706,-0.000552,0.544078,0.585641,67.455765,0.000632,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124826_6fb,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
229,12:48:49,2025-08-28,Manual gsw+F,LI-COR Default,,229,,,0.026211,2.923166,0.025978,1.436614,0.848494,0.816229,5.140336,4.291842,10.126602,10.526896,63.773899,0.441786,7.5,PSF-00232_20250828124849_49e,0,0,0,64.293625,171.108459,0.624252,0.5,0.8,281.43042,1,17.12,16.47,32.66,33.31,33.31,80.6,156.9,32.3,79.4,1127,3.795,12:47:27,2025-08-28,0.29,1,-0.003,0.001,-0.008,-1.143,2.345,1.853,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,-9999,-9999,300,300,300,159.279587,25,-8.975345,157.543655,158.247604,-0.703949,2.430381,2.439269,1.644854,0.660096,0.201444,0.00759,0.544694,1.046676,64.293625,0.000628,2.40043,-0.000041,1,2.408421,-0.000039,1,0.60025,0.601702,0.107071,0,PSF-00232_20250828124849_49e,PFA-00245,PSA-00257,PSF-00232,RHS-00222,3.0.0,2021-01-19T12:57:14.097Z,MEASUREMENT_END
