sr,bed,row,col,unique_id,svc,li600,time,date,config_name,config_author,remark,observation,x8,x9,gsw,gbw,gtw,e_apparent,v_pcham,v_pref,v_pleaf,vp_dleaf,h2o_r,h2o_s,h2o_leaf,leaf_area,leaf_width,flash_id,fo,fm,fv_fm,fs,fm_2,phi_ps2,ps2_1,abs,etr,trans,rh_s,rh_r,tref,tmeas,tleaf,p_atm,flow,flow_s,leak_pct,qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,bla,blb,blc,bld,ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,p1_dur,p2_dur,p3_dur,p1_fmax,p2_ramp,p2_slp,p3_fmax,p3_pred,p3_delta_f,v_hum_a,v_hum_b,v_flow_in,v_flow_out,v_temp,v_irt,v_pres,v_par,v_f,i_led,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flow_in,z_flow_out,z_quantum,z_flr,flash_id_2,lci_ser_num,lcp_ser_num,lcf_ser_num,lcrh_ser_num,version,config_updated_at,x7,x8.x,x9.x,survey_notes,x8.y,x9.y,genotype,type.x,type.y,measurement_header_end
NA,C,12,D,2258,NA,47,09:56:23,2025-09-04,Manual gsw+F,LI-COR Default,NA,047,NA,NA,0.087771,2.922654,0.085212,1.125187,1.118621,1.093556,2.155898,1.037277,13.636765,13.949327,26.884285,0.441786,7.5,PSF-00177_20250904095623_79a,0,0,0,93.980316,299.684387,0.686402,0.5,0.8,29.581493,1,40.4,39.49,22.7,18.64,18.64,80.19,156.8,156.3,0.3,108,4.095,09:55:58,2025-09-04,0.07,NA,0.003,0.005,0.055,0.165,0.443,2.336,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,292.194489,25,-5.384366,288.695465,291.920166,-3.224701,2.445772,2.440214,1.642217,0.92933,0.298992,-0.045411,0.203311,0.200166,93.980316,5.28e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904095623_79a,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(WL2 x TM2) x (TM2),F2,1,NA
NA,C,13,D,2041,NA,48,09:56:45,2025-09-04,Manual gsw+F,LI-COR Default,NA,048,NA,NA,0.08751,2.922733,0.084966,1.190434,1.105518,1.078996,2.205897,1.100379,13.454862,13.785582,27.507093,0.441786,7.5,PSF-00177_20250904095645_2a4,0,0,0,96.176147,311.111633,0.690863,0.5,0.8,32.643227,1,39.92,38.96,22.7,19.01,19.01,80.19,156.8,154.8,1.3,118,4.095,09:55:58,2025-09-04,0.07,NA,0.002,0,0.007,0.619,0.34,1.738,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,289.921753,25,-16.196072,287.499908,287.75705,-0.257141,2.444996,2.439522,1.642301,0.925704,0.298964,-0.041385,0.205249,0.2091,96.176147,4.89e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904095645_2a4,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,WL2 x WV,F1,1,NA
NA,C,14,D,1873,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WL2,Parent,NA,NA
NA,C,16,D,2115,NA,49,09:57:14,2025-09-04,Manual gsw+F,LI-COR Default,NA,049,NA,NA,0.012134,2.920832,0.012084,0.198823,1.076991,1.072553,2.368047,1.291057,13.375607,13.430946,29.531471,0.441786,7.5,PSF-00177_20250904095714_f18,0,0,0,86.224792,257.516998,0.665169,0.5,0.8,12.236895,1,38.89,38.73,22.7,20.15,20.15,80.19,156.6,156.9,-0.2,46,4.094,09:55:58,2025-09-04,0.07,NA,0.001,0.003,0.007,0.039,0.068,0.298,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,251.488571,25,-3.908903,249.708298,251.880402,-2.172104,2.44466,2.438035,1.640293,0.931017,0.298977,-0.028663,0.207709,0.147037,86.224792,5.14e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904095714_f18,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(SQ3 x WL2) x (WL2),F2,1,NA
NA,C,17,D,2217,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(WL2 x BH) x (WL2 x TM2),F2,NA,NA
NA,C,18,C,2402,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WL1,Parent,NA,NA
NA,C,19,C,1861,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WL2,Parent,NA,NA
NA,C,20,C,2360,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(WV x WL2) x (WL2 x CC),F2,NA,NA
NA,C,20,D,2254,NA,50,09:58:02,2025-09-04,Manual gsw+F,LI-COR Default,NA,050,NA,NA,0.04582,2.920616,0.045112,0.759179,1.150878,1.133945,2.470019,1.319141,14.139582,14.350725,30.799583,0.441786,7.5,PSF-00177_20250904095802_228,0,0,0,79.518913,311.061157,0.744362,0.5,0.8,32.156342,1,41.52,40.91,22.72,20.83,20.83,80.2,156.6,152,2.9,108,4.093,09:55:58,2025-09-04,0.07,NA,0.001,0.001,-0.004,0.269,0.23,1.171,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,311.061157,25,5.380785,316.782471,318.82019,-2.03772,2.447825,2.44182,1.640066,0.918514,0.298778,-0.021173,0.212055,0.200389,79.518913,5.04e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904095802_228,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(WL2 x TM2) x (TM2),F2,1,NA
NA,C,21,C,2303,NA,51,09:58:25,2025-09-04,Manual gsw+F,LI-COR Default,NA,051,NA,NA,0.048561,2.921957,0.047767,0.730361,1.177636,1.161369,2.376654,1.199018,14.481764,14.684609,29.635847,0.441786,7.5,PSF-00177_20250904095825_947,0,0,0,94.7957,320.879852,0.704576,0.5,0.8,13.797084,1,42.49,41.9,22.72,20.21,20.21,80.2,156.7,156.8,-0.1,49,4.092,09:55:58,2025-09-04,0.07,NA,0.003,0.004,0.002,0.643,1.26,3.006,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,317.294952,25,-2.188126,317.309265,317.724609,-0.415344,2.449263,2.443209,1.64148,0.930727,0.298797,-0.028179,0.213867,0.149586,94.7957,5.1e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904095825_947,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(WL2 x WV) x (CC x WL2),F2,1,NA
NA,C,21,D,2550,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(WL2 x WV) x (CC x WL2),F2,NA,NA
NA,C,22,C,2499,NA,52,09:58:48,2025-09-04,Manual gsw+F,LI-COR Default,NA,052,NA,NA,0.041032,2.921349,0.040464,0.647717,1.1687940000000001,1.154358,2.423805,1.255012,14.39367,14.573669,30.222387,0.441786,7.5,PSF-00177_20250904095848_c44,0,0,0,94.415192,185.466888,0.490932,0.5,0.8,75.152939,1,42.19,41.67,22.71,20.52,20.52,80.2,156.7,156.9,-0.1,383,4.092,09:55:58,2025-09-04,0.07,NA,0.003,0.003,0.007,0.174,0.203,-1.359,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,185.466888,25,-0.281126,184.195877,185.061508,-0.865631,2.448931,2.442786,1.640839,0.930872,0.2989,-0.024508,0.215735,0.436747,93.744995,4.95e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904095848_c44,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(SQ3 x WL2) x (WL2),F2,1,NA
NA,C,22,D,2606,NA,53,09:59:05,2025-09-04,Manual gsw+F,LI-COR Default,NA,053,NA,NA,0.040623,2.921395,0.040066,0.547906,1.206858,1.194653,2.279803,1.072944,14.895408,15.04759,28.425491,0.441786,7.5,PSF-00177_20250904095905_3e5,0,0,0,84.529999,286.834625,0.705301,0.5,0.8,16.018524,1,43.61,43.17,22.69,19.53,19.53,80.2,156.7,154,1.7,57,4.091,09:55:58,2025-09-04,0.07,NA,-0.003,-0.002,0.003,0.257,0.622,1.389,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,286.825073,25,-0.073415,285.863403,286.72876,-0.865356,2.45109,2.44481,1.640886,0.92358,0.299089,-0.035393,0.217151,0.156318,84.529999,5.02e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904095905_3e5,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(WV x TM2) x (TM2 x WL2),F2,1,NA
NA,C,23,C,2405,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WL1,Parent,NA,NA
NA,C,23,D,737,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(DPR) x (WL2 x DPR),F2,NA,NA
NA,C,24,C,2070,NA,54,09:59:52,2025-09-04,Manual gsw+F,LI-COR Default,NA,054,NA,NA,0.038778,2.921996,0.03827,0.665597,1.112223,1.097385,2.475915,1.363692,13.682639,13.867644,30.870699,0.441786,7.5,PSF-00177_20250904095952_171,0,0,0,80.189827,226.891922,0.646573,0.5,0.8,29.827045,1,40.23,39.7,22.67,20.87,20.87,80.2,156.7,156.8,-0.1,115,4.09,09:55:58,2025-09-04,0.07,NA,-0.003,-0.003,0.006,6.342,11.711,5.523,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,211.172821,25,-15.69112,207.280045,204.265472,3.014572,2.446074,2.439981,1.641522,0.930738,0.299315,-0.020218,0.221331,0.206694,80.189827,5.07e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904095952_171,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(CC x WL2) x (WL2),F2,1,NA
NA,C,25,C,1820,NA,55,10:00:09,2025-09-04,Manual gsw+F,LI-COR Default,NA,055,NA,NA,0.077362,2.921787,0.075366,1.156903,1.114431,1.088637,2.319208,1.204777,13.573689,13.895298,28.91708,0.441786,7.5,PSF-00177_20250904100009_bb1,0,0,0,76.744797,250.738739,0.693925,0.5,0.8,41.472328,1,40.32,39.39,22.67,19.81,19.81,80.2,156.7,132.7,15.3,149,4.09,09:55:58,2025-09-04,0.07,NA,0.003,0.002,0.028,0.022,0.035,0.327,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,245.374924,25,-3.525712,243.446228,245.654694,-2.208466,2.445621,2.440104,1.641301,0.871188,0.299341,-0.032075,0.222786,0.23602,76.744797,5.02e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904100009_bb1,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,WL1,Parent,1,NA
NA,C,25,D,1828,NA,56,10:00:34,2025-09-04,Manual gsw+F,LI-COR Default,NA,056,NA,NA,0.001681,2.922081,0.00168,0.03558,1.091563,1.090769,2.749596,1.658034,13.599934,13.609826,34.282532,0.441786,7.5,PSF-00177_20250904100034_39e,0,0,0,25.496006,21.20018,-0.202632,0.5,0.8,-16.023548,1,39.49,39.46,22.67,22.58,22.58,80.2,156.7,16.3,89.6,198,4.09,09:55:58,2025-09-04,0.07,NA,0.002,0.007,-0.006,-0.085,0.041,0.541,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,21.20018,25,0.142913,21.178364,21.40626,-0.227896,2.445734,2.43891,1.641612,0.630592,0.299341,-6.45e-4,0.224998,0.277561,25.496006,5.18e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904100034_39e,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,WL2,Parent,1,NA
NA,C,28,C,1932,NA,57,10:01:10,2025-09-04,Manual gsw+F,LI-COR Default,NA,057,NA,NA,0.072917,2.920205,0.071141,1.221247,1.111118,1.083855,2.457291,1.346173,13.513977,13.853913,30.638584,0.441786,7.5,PSF-00177_20250904100110_11f,0,0,0,152.964233,267.7276,0.428657,0.5,0.8,15.835806,1,40.19,39.2,22.68,20.75,20.75,80.2,156.5,155.4,0.7,92,4.085,09:55:58,2025-09-04,0.07,NA,0.001,0,0.048,-0.244,-0.594,27.904,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,266.331543,25,-1.511275,264.315948,265.54834,-1.232391,2.445348,2.439911,1.639633,0.927173,0.299275,-0.021641,0.228055,0.18693,152.964233,5e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904100110_11f,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,WV,Parent,1,NA
NA,C,29,C,711,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(DPR) x (DPR x WL2),F2,NA,NA
NA,C,30,C,2620,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DPR,Parent,NA,NA
NA,C,30,D,2646,NA,58,10:01:35,2025-09-04,Manual gsw+F,LI-COR Default,NA,058,NA,NA,0.090837,2.922453,0.088099,1.341784,1.119017,1.089118,2.31442,1.195404,13.579304,13.95209,28.856583,0.441786,7.5,PSF-00177_20250904100135_258,0,0,0,97.296234,310.317932,0.686463,0.5,0.8,115.641602,1,40.45,39.37,22.68,19.78,19.78,80.2,156.8,136.6,12.9,421,4.089,09:55:58,2025-09-04,0.07,NA,0.003,0.005,0.015,0.171,0.406,1.412,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,301.524994,25,-6.884897,296.862244,300.389984,-3.52774,2.445599,2.440296,1.642005,0.880702,0.299188,-0.032593,0.230382,0.469825,97.296234,5.05e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904100135_258,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(WL2 x TM2) x (TM2),F2,1,NA
NA,C,31,C,2420,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SQ3 x WL2,F1,NA,NA
NA,C,31,D,2096,NA,59,10:02:01,2025-09-04,Manual gsw+F,LI-COR Default,NA,059,NA,NA,0.009542,2.921111,0.009511,0.153579,1.115609,1.112182,2.382501,1.266892,13.865925,13.908641,29.703381,0.441786,7.5,PSF-00177_20250904100201_701,0,0,0,128.29184,315.160767,0.592932,0.5,0.8,141.918121,1,40.32,40.19,22.69,20.25,20.25,80.21,156.6,156.8,-0.1,598,4.087,09:55:58,2025-09-04,0.07,NA,0.001,0.003,0,-2.901,-4.099,5.163,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,309.129242,25,-4.123776,307.253479,309.214325,-1.960846,2.446792,2.440097,1.640588,0.930705,0.29912,-0.027423,0.232683,0.62231,137.403839,5.12e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904100201_701,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(SQ3 x WL2) x (WL2),F2,1,NA
NA,C,32,C,2580,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(WV) x (WV x WL2),F2,NA,NA
NA,C,32,D,2430,NA,60,10:02:48,2025-09-04,Manual gsw+F,LI-COR Default,NA,060,NA,NA,0.053576,2.920915,0.052611,1.001964,1.126651,1.1043,2.618411,1.491759,13.76907,14.047757,32.6479,0.441786,7.5,PSF-00177_20250904100248_0a7,0,0,0,144.646164,167.025803,0.133989,0.5,0.8,46.252144,1,40.57,39.77,22.75,21.78,21.78,80.2,156.6,-11.9,107.6,863,4.084,09:55:58,2025-09-04,0.07,NA,0.021,0.02,-0.029,1.142,-2.249,-4.452,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,167.025803,25,2.443288,170.250534,170.548996,-0.298462,2.446157,2.440449,1.640381,0.580854,0.298413,-0.010734,0.237083,0.849981,149.741653,4.98e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904100248_0a7,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,WL2 x LV1,F1,1,NA
NA,C,33,C,2339,NA,61,10:03:08,2025-09-04,Manual gsw+F,LI-COR Default,NA,061,NA,NA,0.151252,2.920789,0.143805,2.412469,1.158602,1.104805,2.473531,1.314929,13.776009,14.446811,30.842897,0.441786,7.5,PSF-00177_20250904100308_24d,0,0,0,79.978821,242.824677,0.670631,0.5,0.8,164.791107,1,41.63,39.7,22.78,20.85,20.85,80.2,156.6,149.8,4.3,614,4.085,09:55:58,2025-09-04,0.07,NA,0.012,0.009,0.001,0.257,0.53,0.869,0,150,-9999,-9999,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,-9999,-9999,300,300,300,242.824677,25,0.345588,243.019226,243.323013,-0.303787,2.446046,2.441961,1.640248,0.913079,0.297974,-0.021689,0.239015,0.636024,79.46241,5.03e-4,2.381104,-8.6e-5,1,2.374053,-6.2e-5,1,0.601405,0.601525,0.107465,0,PSF-00177_20250904100308_24d,PFA-00163,PSA-00175,PSF-00177,RHS-00523,3.0.0,2020-08-19T15:15:59Z,NA,NA,NA,NA,NA,NA,(WV x TM2) x (TM2 x WL2),F2,1,NA
NA,C,33,D,2410,NA,NA,NA,2025-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BH x WL2,F1,NA,NA
